name,registration_number,address,registration_date,renewed_on,valid_upto,district,country,remarks,source_name
A Shelter for Helpless Ill Children (ASHIC),1067,"House-52, Road-3/A, Dhanmondi, R/A, Dhaka Phone :9673982 www.ashic.org",1996-08-26,2021-08-26,2031-08-25,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
A.B. Foundation,2024,"Vill., Post + Upazilla: Chirirbandar, Dist: Dinajpur Phone: 01711-530611",2005-04-05,2020-04-05,2030-04-04,Dinajpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
A.M. Foster Care,2397,"House-38, Road-04, Sector--05, Uttara Model Town, Dhaka-1230. Phone: 01715-475282",2008-12-22,2018-12-22,2028-12-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abalamban,2326,"Pachimpara, Post: Gaibandha, Upazilla: Gaibandha Sadar, Dist.: Gaibandha. Phone: 0541-62388",2008-03-27,2018-03-27,2028-03-27,Gaibandha,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abdul Alim Foundation,3287,"494/C Khilgaon, Dhaka. Phone: 01715023860 email: johir61@yahoo.com",2022-01-11,,2032-01-11,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abdul Halim Khan Foundation,3123,"1257, Khorompatty, Post+Upazila: Sadar, Kishoreganj, Tel: 01711681660",2017-12-19,,2027-12-19,Kishorganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abdul Momen Khan Memorial Foundation (Khan Foundation),0780,"5 Momenbagh, Dhaka-1217 Phone : 9330323",1993-12-04,2018-12-04,2028-12-04,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abdur Rashid Khan Thakur Foundation,2229,"Chapailghat Road, UZ+Zila: gopalganj-8100 Phone: 8034489, 01911-352919 www.arktf.org",2007-08-05,2017-05-08,2027-05-08,Gopalganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abed Satter Pathen Foundation,2842,"118 Isdair, Fatullah, Narayanganj Phone: 0190-251515",2013-12-03,2018-12-03,2028-12-03,Narayanganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abeda Mannan Foundation (AMF),2582,"Vill: Chulash, Post Office: Maricha, Upazilla: Debidwar, Dist: Comilla. Phone: 01552409539, 02-8832921 www.abedamannafoundation.org",2010-06-15,2020-06-15,2030-06-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abohalito Nari O Shishu Kallan Songsta (ANAMIKA),1951,"Habib Mansion, Rasulbag, PO: Langolkhali, Lalmohon, Bhola Phone: 01718730322, 01791584260, email:anamikamir322@gmail.com",2004-08-17,2019-08-17,2029-08-17,Bhola,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abu Rajwan Foundation,3356,"Vill: Uchabodi, Post: Kaimari, Kishoreganj, Nilphamari. Phone: 01732103553 Email: aburadwanbd@gmail.com",2023-05-30,,2033-05-29,Nilphamari,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abu Sobhan Welfare Trust,2805,"House-29/A, Old DOHS Road, Banani, Dhaka.",2013-07-30,2018-07-30,2028-07-30,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Abul Khair Welfare Organization,3541,"Vill: Shibpur, Post: Birgaon, PS: Nabinagar, Dist: Brahmanbaria Phone: 01768003747, 01745009764 Phone: akks.care@gmail.com",2025-12-07,,2035-12-06,Brahmanbaria,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Access Bangladesh Foundation,2461,"10 Tarapur, Savar, Dhaka. Phone: 7743145, Fax: 7743480 www.accessbangladesh.org",2009-06-18,2019-06-18,2029-06-18,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Access Toward Livelihood and Welfare Organisation (ALWO),2102,"81/80, Hazra Natore, Post: Natore-4600, PS: Natore, Dist: Natore. Phone: 0771-61255",2006-06-06,2021-06-06,2031-06-05,Natore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Acid Survivours Foundation,1501,"Plot-A/5, Level-6, CRP Bhaban, Block-A, Sec-14, Mirpur, Dhaka-1200 Phone: 09678777148 www.acidsurvisors.org",2000-04-09,2020-04-09,2030-04-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Action and Light,3560,"Ausghara, PO: Narayanpara, PS: Joypurhat, Dist: Joypurhat-5900 Phone: 01719458941 email: actionandlightbd@gmail.com",2026-01-18,,2036-01-17,Joypurhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Action Five,2830,"Gaokura, Kacharipara, Islampur, Jamalpur Phone: 01728-782643",2013-11-04,2018-11-04,2028-11-04,Jamalpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Action for Rural Poor (ARP),2796,"Vill: Fazilpur, Post: Tegria, UZ: Madarganj, Dist: Jamalpur Phone: 01772898145 email: jahidulislam@4231@gmail.com",2013-06-27,2018-06-27,2028-06-27,Jamalpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Action in Bangladesh,2601,"Sadar Road, Kalai, P.O Box No. 5390, Kalai, Joypurhat. Phone: 215-222-442",2010-10-05,,2015-10-05,Joypurhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Activities for the Landless Organised with Consciousness (ALOC),0439,"Patkelgata Bazar, Thana: Tala, Satkhira",1991-02-05,2015-02-05,2020-02-05,Sathkhira,Bangladesh,"Cancelled on 25/10/2010, Revived on 12/5/2016",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Activity for Reformation of Basic Needs-ARBAN,3077,"Vill Rajapara, PO: Purbadhala, Netrakona",2017-01-03,2022-01-03,2032-01-02,Netrakona,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ADAMS Foundation,0855,"130, Kedaranath Main Road, Post: BIT-9203, Dowlatpur, Khulna Phone : 041-774426, Fax: 041-774048",1994-09-13,2019-09-13,2029-09-13,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Adarsha Kajer Sandhanay (AKAS),2434,"PMA Sattar Vila, House-20, Koilash Ghosh Lane, Banglabazar, Thana: Kotwali, Dhaka Phone: 01711-286349, 01717-655622",2009-06-05,2014-05-06,2034-05-05,Jhalokathi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
